A	adjective
V.AMPGSF	verb, Aor Mid Part Gen Sing Fem
V.AMPGSM	verb, Aor Mid Part Gen Sing Masc
V.AMPGSN	verb, Aor Mid Part Gen Sing Neut
V.AMPNPF	verb, Aor Mid Part Nom Plur Fem
V.AMPNPM	verb, Aor Mid Part Nom Plur Masc
V.AMPNPN	verb, Aor Mid Part Nom Plur Neut
V.AMPNSF	verb, Aor Mid Part Nom Sing Fem
V.AMPNSM	verb, Aor Mid Part Nom Sing Masc
V.AMPNSN	verb, Aor Mid Part Nom Sing Neut
V.AMS1P	verb, Aor Mid Subj 1st Plur
V.AMS1S	verb, Aor Mid Subj 1st Sing
V.AMS2P	verb, Aor Mid Subj 2nd Plur
V.AMS2S	verb, Aor Mid Subj 2nd Sing
V.AMS3P	verb, Aor Mid Subj 3rd Plur
V.AMS3S	verb, Aor Mid Subj 3rd Sing
V.APD2P	verb, Aor Pass Imperative 2nd Plur
V.APD2S	verb, Aor Pass Imperative 2nd Sing
V.APD3P	verb, Aor Pass Imperative 3rd Plur
V.APD3S	verb, Aor Pass Imperative 3rd Sing
V.API1P	verb, Aor Pass Ind 1st Plur
V.API1S	verb, Aor Pass Ind 1st Sing
V.API2P	verb, Aor Pass Ind 2nd Plur
V.API2S	verb, Aor Pass Ind 2nd Sing
V.API3P	verb, Aor Pass Ind 3rd Plur
V.API3S	verb, Aor Pass Ind 3rd Sing
V.APN	verb, Acc Plur Neut
V.APO1P	verb, Aor Pass Opt 1st Plur
V.APO1S	verb, Aor Pass Opt 1st Sing
V.APO2P	verb, Aor Pass Opt 2nd Plur
V.APO2S	verb, Aor Pass Opt 2nd Sing
V.APO3P	verb, Aor Pass Opt 3rd Plur
V.APO3S	verb, Aor Pass Opt 3rd Sing
V.APP2S	verb, Aor Pass Part 2nd Sing
V.APPAPF	verb, Aor Pass Part Acc Plur Fem
V.APPAPM	verb, Aor Pass Part Acc Plur Masc
V.APPAPN	verb, Aor Pass Part Acc Plur Neut
V.APPASF	verb, Aor Pass Part Acc Sing Fem
V.APPASM	verb, Aor Pass Part Acc Sing Masc
V.APPASN	verb, Aor Pass Part Acc Sing Neut
V.APPDPM	verb, Aor Pass Part Dat Plur Masc
V.APPDPN	verb, Aor Pass Part Dat Plur Neut
V.APPDSF	verb, Aor Pass Part Dat Sing Fem
V.APPDSM	verb, Aor Pass Part Dat Sing Masc
V.APPGPM	verb, Aor Pass Part Gen Plur Masc
V.APPGPN	verb, Aor Pass Part Gen Plur Neut
V.APPGSF	verb, Aor Pass Part Gen Sing Fem
V.APPGSM	verb, Aor Pass Part Gen Sing Masc
V.APPGSN	verb, Aor Pass Part Gen Sing Neut
V.APPNPF	verb, Aor Pass Part Nom Plur Fem
V.APPNPM	verb, Aor Pass Part Nom Plur Masc
V.APPNPN	verb, Aor Pass Part Nom Plur Neut
V.APPNSF	verb, Aor Pass Part Nom Sing Fem
V.APPNSM	verb, Aor Pass Part Nom Sing Masc
V.APPNSN	verb, Aor Pass Part Nom Sing Neut
V.APPVSF	verb, Aor Pass Part Voc Sing Fem
V.APS1P	verb, Aor Pass Subj 1st Plur
V.APS1S	verb, Aor Pass Subj 1st Sing
V.APS2P	verb, Aor Pass Subj 2nd Plur
V.APS2S	verb, Aor Pass Subj 2nd Sing
V.APS3P	verb, Aor Pass Subj 3rd Plur
V.APS3S	verb, Aor Pass Subj 3rd Sing
V.FAD2S	verb, Fut Act Imperative 2nd Sing
V.FAI1P	verb, Fut Act Ind 1st Plur
V.FAI1S	verb, Fut Act Ind 1st Sing
V.FAI2P	verb, Fut Act Ind 2nd Plur
V.FAI2S	verb, Fut Act Ind 2nd Sing
V.FAI3P	verb, Fut Act Ind 3rd Plur
V.FAI3S	verb, Fut Act Ind 3rd Sing
V.FAN	verb, Fut Act Infin
V.FAO3P	verb, Fut Act Opt 3rd Plur
V.FAO3S	verb, Fut Act Opt 3rd Sing
V.FAPAPM	verb, Fut Act Part Acc Plur Masc
V.FAPASM	verb, Fut Act Part Acc Sing Masc
V.FAPASN	verb, Fut Act Part Acc Sing Neut
V.FAPNPM	verb, Fut Act Part Nom Plur Masc
V.FAPNSF	verb, Fut Act Part Nom Sing Fem
V.FAPNSM	verb, Fut Act Part Nom Sing Masc
V.FAPNSN	verb, Fut Act Part Nom Sing Neut
V.FAS1S	verb, Fut Act Subj 1st Sing
V.FMD2P	verb, Fut Mid Imperative 2nd Plur
V.FMI1P	verb, Fut Mid Ind 1st Plur
V.FMI1S	verb, Fut Mid Ind 1st Sing
V.FMI2P	verb, Fut Mid Ind 2nd Plur
V.FMI2S	verb, Fut Mid Ind 2nd Sing
V.FMI3P	verb, Fut Mid Ind 3rd Plur
V.FMI3S	verb, Fut Mid Ind 3rd Sing
V.FMN	verb, Fut Mid Infin
V.FMO1P	verb, Fut Mid Opt 1st Plur
V.FMO3S	verb, Fut Mid Opt 3rd Sing
V.FMPAPM	verb, Fut Mid Part Acc Plur Masc
V.FMPAPN	verb, Fut Mid Part Acc Plur Neut
V.FMPASF	verb, Fut Mid Part Acc Sing Fem
V.FMPASM	verb, Fut Mid Part Acc Sing Masc
V.FMPASN	verb, Fut Mid Part Acc Sing Neut
V.FMPGPN	verb, Fut Mid Part Gen Plur Neut
V.FMPGSF	verb, Fut Mid Part Gen Sing Fem
V.FMPGSM	verb, Fut Mid Part Gen Sing Masc
V.FMPNPN	verb, Fut Mid Part Nom Plur Neut
V.FMPNSM	verb, Fut Mid Part Nom Sing Masc
V.FMPNSN	verb, Fut Mid Part Nom Sing Neut
V.FMS2S	verb, Fut Mid Subj 2nd Sing
V.FPI1P	verb, Fut Pass Ind 1st Plur
V.FPI1S	verb, Fut Pass Ind 1st Sing
V.FPI2P	verb, Fut Pass Ind 2nd Plur
V.FPI2S	verb, Fut Pass Ind 2nd Sing
V.FPI3P	verb, Fut Pass Ind 3rd Plur
V.FPI3S	verb, Fut Pass Ind 3rd Sing
V.FPN	verb, Fut Pass Infin
V.FPPAPF	verb, Fut Pass Part Acc Plur Fem
V.FPPAPM	verb, Fut Pass Part Acc Plur Masc
V.FPPAPN	verb, Fut Pass Part Acc Plur Neut
V.FPPDPM	verb, Fut Pass Part Dat Plur Masc
V.FPPDPN	verb, Fut Pass Part Dat Plur Neut
V.FPPDSM	verb, Fut Pass Part Dat Sing Masc
V.FPPGPM	verb, Fut Pass Part Gen Plur Masc
V.FPPNPM	verb, Fut Pass Part Nom Plur Masc
V.FPPNSM	verb, Fut Pass Part Nom Sing Masc
V.FPPNSN	verb, Fut Pass Part Nom Sing Neut
V.FPS2S	verb, Fut Pass Subj 2nd Sing
V.FPS3P	verb, Fut Pass Subj 3rd Plur
V.IAI1P	verb, Imperf Act Ind 1st Plur
V.IAI1S	verb, Imperf Act Ind 1st Sing
V.IAI2P	verb, Imperf Act Ind 2nd Plur
V.IAI2S	verb, Imperf Act Ind 2nd Sing
V.IAI3P	verb, Imperf Act Ind 3rd Plur
V.IAI3S	verb, Imperf Act Ind 3rd Sing
V.IAS2P	verb, Imperf Act Subj 2nd Plur
V.IAS2S	verb, Imperf Act Subj 2nd Sing
V.IMI1P	verb, Imperf Mid Ind 1st Plur
V.IMI1S	verb, Imperf Mid Ind 1st Sing
V.IMI2P	verb, Imperf Mid Ind 2nd Plur
V.IMI2S	verb, Imperf Mid Ind 2nd Sing
V.IMI3P	verb, Imperf Mid Ind 3rd Plur
V.IMI3S	verb, Imperf Mid Ind 3rd Sing
V.IPI3P	verb, Imperf Pass Ind 3rd Plur
V.IPI3S	verb, Imperf Pass Ind 3rd Sing
V.PAD2P	verb, Pres Act Imperative 2nd Plur
V.PAD2S	verb, Pres Act Imperative 2nd Sing
V.PAD3P	verb, Pres Act Imperative 3rd Plur
V.PAD3S	verb, Pres Act Imperative 3rd Sing
V.PAI	verb, Pres Act Ind
V.PAI1P	verb, Pres Act Ind 1st Plur
V.PAI1S	verb, Pres Act Ind 1st Sing
V.PAI2P	verb, Pres Act Ind 2nd Plur
V.PAI2S	verb, Pres Act Ind 2nd Sing
V.PAI3P	verb, Pres Act Ind 3rd Plur
V.PAI3S	verb, Pres Act Ind 3rd Sing
V.PAN	verb, Pres Act Infin
V.PAO1S	verb, Pres Act Opt 1st Sing
V.PAO2P	verb, Pres Act Opt 2nd Plur
V.PAO3P	verb, Pres Act Opt 3rd Plur
V.PAO3S	verb, Pres Act Opt 3rd Sing
V.PAPAPF	verb, Pres Act Part Acc Plur Fem
V.PAPAPM	verb, Pres Act Part Acc Plur Masc
V.PAPAPN	verb, Pres Act Part Acc Plur Neut
V.PAPASF	verb, Pres Act Part Acc Sing Fem
V.PAPASM	verb, Pres Act Part Acc Sing Masc
V.PAPASN	verb, Pres Act Part Acc Sing Neut
V.PAPDPF	verb, Pres Act Part Dat Plur Fem
V.PAPDPM	verb, Pres Act Part Dat Plur Masc
V.PAPDPN	verb, Pres Act Part Dat Plur Neut
V.PAPDSF	verb, Pres Act Part Dat Sing Fem
V.PAPDSM	verb, Pres Act Part Dat Sing Masc
V.PAPDSN	verb, Pres Act Part Dat Sing Neut
V.PAPGPF	verb, Pres Act Part Gen Plur Fem
V.PAPGPM	verb, Pres Act Part Gen Plur Masc
V.PAPGPN	verb, Pres Act Part Gen Plur Neut
V.PAPGSF	verb, Pres Act Part Gen Sing Fem
V.PAPGSM	verb, Pres Act Part Gen Sing Masc
V.PAPGSN	verb, Pres Act Part Gen Sing Neut
V.PAPNPF	verb, Pres Act Part Nom Plur Fem
V.PAPNPM	verb, Pres Act Part Nom Plur Masc
V.PAPNPN	verb, Pres Act Part Nom Plur Neut
V.PAPNSF	verb, Pres Act Part Nom Sing Fem
V.PAPNSM	verb, Pres Act Part Nom Sing Masc
V.PAPNSN	verb, Pres Act Part Nom Sing Neut
V.PAPVPM	verb, Pres Act Part Voc Plur Masc
V.PAPVSF	verb, Pres Act Part Voc Sing Fem
V.PAPVSM	verb, Pres Act Part Voc Sing Masc
V.PAS1P	verb, Pres Act Subj 1st Plur
V.PAS1S	verb, Pres Act Subj 1st Sing
V.PAS2P	verb, Pres Act Subj 2nd Plur
V.PAS2S	verb, Pres Act Subj 2nd Sing
V.PAS3P	verb, Pres Act Subj 3rd Plur
V.PAS3S	verb, Pres Act Subj 3rd Sing
V.PMD2P	verb, Pres Mid Imperative 2nd Plur
V.PMD2S	verb, Pres Mid Imperative 2nd Sing
V.PMD3P	verb, Pres Mid Imperative 3rd Plur
V.PMD3S	verb, Pres Mid Imperative 3rd Sing
V.PMI1P	verb, Pres Mid Ind 1st Plur
V.PMI1S	verb, Pres Mid Ind 1st Sing
V.PMI2P	verb, Pres Mid Ind 2nd Plur
V.PMI2S	verb, Pres Mid Ind 2nd Sing
V.PMI3P	verb, Pres Mid Ind 3rd Plur
V.PMI3S	verb, Pres Mid Ind 3rd Sing
V.PMN	verb, Pres Mid Infin
V.PMO1S	verb, Pres Mid Opt 1st Sing
V.PMO2S	verb, Pres Mid Opt 2nd Sing
V.PMO3P	verb, Pres Mid Opt 3rd Plur
V.PMO3S	verb, Pres Mid Opt 3rd Sing
V.PMP3P	verb, Pres Mid Part 3rd Plur
V.PMPAPF	verb, Pres Mid Part Acc Plur Fem
V.PMPAPM	verb, Pres Mid Part Acc Plur Masc
V.PMPAPN	verb, Pres Mid Part Acc Plur Neut
V.PMPASF	verb, Pres Mid Part Acc Sing Fem
V.PMPASM	verb, Pres Mid Part Acc Sing Masc
V.PMPASN	verb, Pres Mid Part Acc Sing Neut
V.PMPDPF	verb, Pres Mid Part Dat Plur Fem
V.PMPDPM	verb, Pres Mid Part Dat Plur Masc
V.PMPDPN	verb, Pres Mid Part Dat Plur Neut
V.PMPDSF	verb, Pres Mid Part Dat Sing Fem
V.PMPDSM	verb, Pres Mid Part Dat Sing Masc
V.PMPDSN	verb, Pres Mid Part Dat Sing Neut
V.PMPGPF	verb, Pres Mid Part Gen Plur Fem
V.PMPGPM	verb, Pres Mid Part Gen Plur Masc
V.PMPGPN	verb, Pres Mid Part Gen Plur Neut
V.PMPGSF	verb, Pres Mid Part Gen Sing Fem
V.PMPGSM	verb, Pres Mid Part Gen Sing Masc
V.PMPGSN	verb, Pres Mid Part Gen Sing Neut
V.PMPNDM	verb, Pres Mid Part Nom Dual Masc
V.PMPNPF	verb, Pres Mid Part Nom Plur Fem
V.PMPNPM	verb, Pres Mid Part Nom Plur Masc
V.PMPNPN	verb, Pres Mid Part Nom Plur Neut
V.PMPNSF	verb, Pres Mid Part Nom Sing Fem
V.PMPNSM	verb, Pres Mid Part Nom Sing Masc
V.PMPNSN	verb, Pres Mid Part Nom Sing Neut
V.PMPVPM	verb, Pres Mid Part Voc Plur Masc
V.PMPVPN	verb, Pres Mid Part Voc Plur Neut
V.PMPVSM	verb, Pres Mid Part Voc Sing Masc
V.PMS1P	verb, Pres Mid Subj 1st Plur
V.PMS1S	verb, Pres Mid Subj 1st Sing
V.PMS2P	verb, Pres Mid Subj 2nd Plur
V.PMS2S	verb, Pres Mid Subj 2nd Sing
V.PMS3P	verb, Pres Mid Subj 3rd Plur
V.PMS3S	verb, Pres Mid Subj 3rd Sing
V.PPD2S	verb, Pres Pass Imperative 2nd Sing
V.PPD3P	verb, Pres Pass Imperative 3rd Plur
V.PPD3S	verb, Pres Pass Imperative 3rd Sing
V.PPI1P	verb, Pres Pass Ind 1st Plur
V.PPI1S	verb, Pres Pass Ind 1st Sing
V.PPI2P	verb, Pres Pass Ind 2nd Plur
V.PPI2S	verb, Pres Pass Ind 2nd Sing
V.PPI3P	verb, Pres Pass Ind 3rd Plur
V.PPI3S	verb, Pres Pass Ind 3rd Sing
V.PPN	verb, Pres Pass Infin
V.PPPAPF	verb, Pres Pass Part Acc Plur Fem
V.PPPAPM	verb, Pres Pass Part Acc Plur Masc
V.PPPAPN	verb, Pres Pass Part Acc Plur Neut
V.PPPASF	verb, Pres Pass Part Acc Sing Fem
V.PPPASM	verb, Pres Pass Part Acc Sing Masc
V.PPPASN	verb, Pres Pass Part Acc Sing Neut
V.PPPDPM	verb, Pres Pass Part Dat Plur Masc
V.PPPDSM	verb, Pres Pass Part Dat Sing Masc
V.PPPDSN	verb, Pres Pass Part Dat Sing Neut
V.PPPGPF	verb, Pres Pass Part Gen Plur Fem
V.PPPGPM	verb, Pres Pass Part Gen Plur Masc
V.PPPGPN	verb, Pres Pass Part Gen Plur Neut
V.PPPGSF	verb, Pres Pass Part Gen Sing Fem
V.PPPGSM	verb, Pres Pass Part Gen Sing Masc
V.PPPGSN	verb, Pres Pass Part Gen Sing Neut
V.PPPNPF	verb, Pres Pass Part Nom Plur Fem
V.PPPNPM	verb, Pres Pass Part Nom Plur Masc
V.PPPNPN	verb, Pres Pass Part Nom Plur Neut
V.PPPNSF	verb, Pres Pass Part Nom Sing Fem
V.PPPNSM	verb, Pres Pass Part Nom Sing Masc
V.PPPNSN	verb, Pres Pass Part Nom Sing Neut
V.PPS2S	verb, Pres Pass Subj 2nd Sing
V.PPS3S	verb, Pres Pass Subj 3rd Sing
V.XAD2P	verb, Perf Act Imperative 2nd Plur
V.XAD2S	verb, Perf Act Imperative 2nd Sing
V.XAD3P	verb, Perf Act Imperative 3rd Plur
V.XAD3S	verb, Perf Act Imperative 3rd Sing
V.XAI1P	verb, Perf Act Ind 1st Plur
V.XAI1S	verb, Perf Act Ind 1st Sing
V.XAI2P	verb, Perf Act Ind 2nd Plur
V.XAI2S	verb, Perf Act Ind 2nd Sing
V.XAI3P	verb, Perf Act Ind 3rd Plur
V.XAI3S	verb, Perf Act Ind 3rd Sing
V.XAN	verb, Perf Act Infin
V.XAO3S	verb, Perf Act Opt 3rd Sing
V.XAPAPF	verb, Perf Act Part Acc Plur Fem
V.XAPAPM	verb, Perf Act Part Acc Plur Masc
V.XAPAPN	verb, Perf Act Part Acc Plur Neut
V.XAPASF	verb, Perf Act Part Acc Sing Fem
V.XAPASM	verb, Perf Act Part Acc Sing Masc
V.XAPASN	verb, Perf Act Part Acc Sing Neut
V.XAPDPM	verb, Perf Act Part Dat Plur Masc
V.XAPDPN	verb, Perf Act Part Dat Plur Neut
V.XAPDSF	verb, Perf Act Part Dat Sing Fem
V.XAPDSM	verb, Perf Act Part Dat Sing Masc
V.XAPDSN	verb, Perf Act Part Dat Sing Neut
V.XAPGPF	verb, Perf Act Part Gen Plur Fem
V.XAPGPM	verb, Perf Act Part Gen Plur Masc
V.XAPGPN	verb, Perf Act Part Gen Plur Neut
V.XAPGSF	verb, Perf Act Part Gen Sing Fem
V.XAPGSM	verb, Perf Act Part Gen Sing Masc
V.XAPGSN	verb, Perf Act Part Gen Sing Neut
V.XAPNPF	verb, Perf Act Part Nom Plur Fem
V.XAPNPM	verb, Perf Act Part Nom Plur Masc
V.XAPNPN	verb, Perf Act Part Nom Plur Neut
V.XAPNSF	verb, Perf Act Part Nom Sing Fem
V.XAPNSM	verb, Perf Act Part Nom Sing Masc
V.XAPNSN	verb, Perf Act Part Nom Sing Neut
V.XAPVPM	verb, Perf Act Part Voc Plur Masc
V.XAS2P	verb, Perf Act Subj 2nd Plur
V.XAS2S	verb, Perf Act Subj 2nd Sing
V.XAS3P	verb, Perf Act Subj 3rd Plur
V.XMD2P	verb, Perf Mid Imperative 2nd Plur
V.XMD3P	verb, Perf Mid Imperative 3rd Plur
V.XMD3S	verb, Perf Mid Imperative 3rd Sing
V.XMI1P	verb, Perf Mid Ind 1st Plur
V.XMI1S	verb, Perf Mid Ind 1st Sing
V.XMI2P	verb, Perf Mid Ind 2nd Plur
V.XMI2S	verb, Perf Mid Ind 2nd Sing
V.XMI3P	verb, Perf Mid Ind 3rd Plur
V.XMI3S	verb, Perf Mid Ind 3rd Sing
V.XMN	verb, Perf Mid Infin
V.XMPAPF	verb, Perf Mid Part Acc Plur Fem
V.XMPAPM	verb, Perf Mid Part Acc Plur Masc
V.XMPAPN	verb, Perf Mid Part Acc Plur Neut
V.XMPASF	verb, Perf Mid Part Acc Sing Fem
V.XMPASM	verb, Perf Mid Part Acc Sing Masc
V.XMPASN	verb, Perf Mid Part Acc Sing Neut
V.XMPDPF	verb, Perf Mid Part Dat Plur Fem
V.XMPDPM	verb, Perf Mid Part Dat Plur Masc
V.XMPDPN	verb, Perf Mid Part Dat Plur Neut
V.XMPDSF	verb, Perf Mid Part Dat Sing Fem
V.XMPDSM	verb, Perf Mid Part Dat Sing Masc
V.XMPDSN	verb, Perf Mid Part Dat Sing Neut
V.XMPGPF	verb, Perf Mid Part Gen Plur Fem
V.XMPGPM	verb, Perf Mid Part Gen Plur Masc
V.XMPGPN	verb, Perf Mid Part Gen Plur Neut
V.XMPGSF	verb, Perf Mid Part Gen Sing Fem
V.XMPGSM	verb, Perf Mid Part Gen Sing Masc
V.XMPGSN	verb, Perf Mid Part Gen Sing Neut
V.XMPNPF	verb, Perf Mid Part Nom Plur Fem
V.XMPNPM	verb, Perf Mid Part Nom Plur Masc
V.XMPNPN	verb, Perf Mid Part Nom Plur Neut
V.XMPNSF	verb, Perf Mid Part Nom Sing Fem
V.XMPNSM	verb, Perf Mid Part Nom Sing Masc
V.XMPNSN	verb, Perf Mid Part Nom Sing Neut
V.XMPVPM	verb, Perf Mid Part Voc Plur Masc
V.XMPVSF	verb, Perf Mid Part Voc Sing Fem
V.XMPVSM	verb, Perf Mid Part Voc Sing Masc
V.XPD3P	verb, Perf Pass Imperative 3rd Plur
V.XPI1P	verb, Perf Pass Ind 1st Plur
V.XPI1S	verb, Perf Pass Ind 1st Sing
V.XPI2S	verb, Perf Pass Ind 2nd Sing
V.XPI3P	verb, Perf Pass Ind 3rd Plur
V.XPI3S	verb, Perf Pass Ind 3rd Sing
V.XPN	verb, Perf Pass Infin
V.XPP2S	verb, Perf Pass Ind 2nd Sing
V.XPPAPF	verb, Perf Pass Part Acc Plur Fem
V.XPPAPM	verb, Perf Pass Part Acc Plur Masc
V.XPPAPN	verb, Perf Pass Part Acc Plur Neut
V.XPPASF	verb, Perf Pass Part Acc Sing Fem
V.XPPASM	verb, Perf Pass Part Acc Sing Masc
V.XPPASN	verb, Perf Pass Part Acc Sing Neut
V.XPPDPF	verb, Perf Pass Part Dat Plur Fem
V.XPPDPM	verb, Perf Pass Part Dat Plur Masc
V.XPPDSF	verb, Perf Pass Part Dat Sing Fem
V.XPPDSM	verb, Perf Pass Part Dat Sing Masc
V.XPPDSN	verb, Perf Pass Part Dat Sing Neut
V.XPPGPF	verb, Perf Pass Part Gen Plur Fem
V.XPPGPM	verb, Perf Pass Part Gen Plur Masc
V.XPPGPN	verb, Perf Pass Part Gen Plur Neut
V.XPPGSF	verb, Perf Pass Part Gen Sing Fem
V.XPPGSM	verb, Perf Pass Part Gen Sing Masc
V.XPPGSN	verb, Perf Pass Part Gen Sing Neut
V.XPPNPF	verb, Perf Pass Part Nom Plur Fem
V.XPPNPM	verb, Perf Pass Part Nom Plur Masc
V.XPPNPN	verb, Perf Pass Part Nom Plur Neut
V.XPPNSF	verb, Perf Pass Part Nom Sing Fem
V.XPPNSM	verb, Perf Pass Part Nom Sing Masc
V.XPPNSN	verb, Perf Pass Part Nom Sing Neut
V.XPS3S	verb, Perf Pass Subj 3rd Sing
V.YAI1P	verb, Pluperf Act Ind 1st Plur
V.YAI1S	verb, Pluperf Act Ind 1st Sing
V.YAI2P	verb, Pluperf Act Ind 2nd Plur
V.YAI2S	verb, Pluperf Act Ind 2nd Sing
V.YAI3P	verb, Pluperf Act Ind 3rd Plur
V.YAI3S	verb, Pluperf Act Ind 3rd Sing
V.YMI1S	verb, Pluperf Mid Ind 1st Sing
V.YMI3P	verb, Pluperf Mid Ind 3rd Plur
V.YMI3S	verb, Pluperf Mid Ind 3rd Sing
V.YMPASN	verb, Pluperf Mid Part Acc Sing Neut
V.YMPNPM	verb, Pluperf Mid Part Nom Plur Masc
V.YMPNSM	verb, Pluperf Mid Part Nom Sing Masc
V.YMPNSN	verb, Pluperf Mid Part Nom Sing Neut
V.YPI3S	verb, Pluperf Pass Ind 3rd Sing
V.ZMI3S	verb, Fut Pass Ind 3rd Sing
X	particle
